Method	DNA_kit	taxon	NGS_mean	NGS_sd	NGS_bias	NGS_relative_deviation_pct	qPCR_mean	qPCR_sd	qPCR_bias	qPCR_relative_deviation_pct	mean_difference_NGS_minus_qPCR	absolute_mean_difference
Cutadapt_SE	DNeasy	Aspergillus_fumigatus	0.03184441208008747	0.002940259931751387	-0.06815558791991254	-68.15558791991253	0.09550867349707479	0.00770532095700339	-0.004491326502925219	-4.491326502925219	-0.06366426141698732	0.06366426141698732
Cutadapt_SE	DNeasy	Cryptococcus_neoformans	0.14732514452487105	0.00352906327951083	0.04732514452487105	47.32514452487105	0.3241001327460241	0.016998246748797487	0.2241001327460241	224.1001327460241	-0.17677498822115306	0.17677498822115306
Cutadapt_SE	DNeasy	Trichophyton_interdigitale	0.004617720472366077	5.888569709589153e-4	-0.09538227952763392	-95.38227952763391	0.00614977349867599	9.746523990519053e-4	-0.09385022650132402	-93.85022650132402	-0.0015320530263099128	0.0015320530263099128
Cutadapt_SE	DNeasy	Penicillium_chrysogenum	0.12475316370418679	0.012426423919666448	0.024753163704186787	24.753163704186786	0.07206717119550163	0.013681361658341816	-0.027932828804498377	-27.932828804498378	0.052685992508685164	0.052685992508685164
Cutadapt_SE	DNeasy	Fusarium_keratoplasticum	0.0019083081468615854	2.9208137449862327e-4	-0.09809169185313842	-98.09169185313841	8.381682832291374e-4	1.3309425085592525e-4	-0.09916183171677087	-99.16183171677086	0.001070139863632448	0.001070139863632448
Cutadapt_SE	DNeasy	Candida_albicans	0.2997253865720377	0.0078239839162031425	0.19972538657203767	199.72538657203768	0.36542770883619624	0.02244045958098073	0.26542770883619626	265.42770883619625	-0.06570232226415856	0.06570232226415856
Cutadapt_SE	DNeasy	Nakaseomyces_glabratus	0.10877052278337164	0.0029625923295309234	0.008770522783371634	8.770522783371634	0.06574358012552015	0.0075336347494921125	-0.03425641987447986	-34.25641987447986	0.043026942657851494	0.043026942657851494
Cutadapt_SE	DNeasy	Malassezia_globosa	4.018226676203258e-6	8.036453352406516e-6	-0.0999959817733238	-99.9959817733238	0.001292170178546565	0.00061702973063509285	-0.09870782982145344	-98.70782982145344	-0.0012881519518703616	0.0012881519518703616
Cutadapt_SE	DNeasy	Saccharomyces_cerevisiae	0.06173498334518165	0.0038375059119011585	-0.03826501665481836	-38.26501665481835	0.025012665295906848	0.00731181717440097	-0.07498733470409316	-74.98733470409316	0.036722318049274796	0.036722318049274796
Cutadapt_SE	DNeasy	Cutaneotrichosporon_dermatis	0.21931634014435986	0.012349189230316963	0.11931634014435985	119.31634014435983	0.04385995634332456	0.005618402681530939	-0.056140043656675444	-56.140043656675445	0.1754563838010353	0.1754563838010353
Cutadapt_SE	QIAamp	Aspergillus_fumigatus	0.033361085512478926	0.0013151131993919764	-0.06663891448752107	-66.63891448752108	0.0843784856156913	0.012283848275235133	-0.015621514384308699	-15.6215143843087	-0.05101740010321238	0.05101740010321238
Cutadapt_SE	QIAamp	Cryptococcus_neoformans	0.15916717703084238	0.0071259120993245805	0.05916717703084237	59.16717703084237	0.1375383356292926	0.01282836579582385	0.037538335629292596	37.5383356292926	0.021628841401549775	0.021628841401549775
Cutadapt_SE	QIAamp	Trichophyton_interdigitale	0.005708819507605844	8.280005156123851e-4	-0.09429118049239416	-94.29118049239416	0.008676233590709294	0.0036027747645069295	-0.09132376640929071	-91.32376640929071	-0.00296741408310345	0.00296741408310345
Cutadapt_SE	QIAamp	Penicillium_chrysogenum	0.12990045138009754	0.0023533053893611045	0.02990045138009753	29.900451380097532	0.08259872516887491	0.03655705122216194	-0.017401274831125094	-17.401274831125093	0.047301726211222625	0.047301726211222625
