DNA_kit	Paired	taxonomic_rank	taxon	detected_by_cutadapt	detected_by_itsxpress	taxon_method_set
QIAamp	SE	Species	Trametes_pubescens	TRUE	TRUE	Shared
QIAamp	SE	Species	Trechispora_g	TRUE	TRUE	Shared
QIAamp	SE	Species	Xeromyces_bisporus	TRUE	TRUE	Shared
QIAamp	SE	Species	Xylodon_flaviporus	TRUE	TRUE	Shared
Zymo	PE	Genus	Ascomycota_p	TRUE	FALSE	Cutadapt only
Zymo	PE	Genus	Cladosporium	TRUE	TRUE	Shared
Zymo	PE	Genus	Cutaneotrichosporon	TRUE	TRUE	Shared
Zymo	PE	Genus	Debaryomyces	TRUE	TRUE	Shared
Zymo	PE	Genus	Didymellaceae_f	TRUE	FALSE	Cutadapt only
Zymo	PE	Genus	Epicoccum	FALSE	TRUE	ITSxpress only
Zymo	PE	Genus	Fungi_k	TRUE	FALSE	Cutadapt only
Zymo	PE	Genus	Kazachstania	TRUE	TRUE	Shared
Zymo	PE	Genus	Lecanorales_o	TRUE	FALSE	Cutadapt only
Zymo	PE	Genus	Lecanoromycetes_c	TRUE	FALSE	Cutadapt only
Zymo	PE	Genus	Mucor	TRUE	TRUE	Shared
Zymo	PE	Genus	Nigrospora	TRUE	TRUE	Shared
